adjective,kmeans,pca,binary_label
5.5072064,7.3038836,5.488029,0
4.655509,7.0358286,5.958323,0
3.6236925,6.35768,2.9533644,0
0.89660406,4.3897915,-0.99700665,0
5.4299,7.7433395,6.011112,0
4.578205,6.6876335,3.6933959,0
4.119709,6.468961,4.5158067,0
3.1605792,5.574301,1.0525036,0
5.808869,8.296247,6.3004546,0
4.526329,7.0287304,2.8259935,0
4.528196,6.887769,5.63304,0
5.3499694,6.8212214,5.25693,0
1.10212,3.7523384,-1.3047717,0
4.243983,6.5141206,4.7028127,0
5.4230537,7.1951313,6.2181973,0
3.4487429,5.1719904,2.4050515,0
3.6946993,6.05101,5.054589,0
3.7710633,6.16553,4.603127,0
5.102514,7.3446856,5.98457,0
2.1196282,4.285819,1.2215685,0
4.048825,6.6890306,3.7672331,0
5.8438425,7.680663,6.2344623,0
3.2713094,5.771427,1.8105682,0
3.9960957,6.2163887,5.282416,0
6.9463196,8.313246,7.6753306,0
2.449452,4.949398,3.3806348,0
6.341922,8.372638,7.209294,0
6.0344605,8.075958,6.1450195,0
3.6275074,6.063315,3.487573,0
1.2852767,4.9838953,-0.21286544,0
0.7752225,4.278203,-0.8506179,0
6.8441763,8.446917,7.2640467,0
0.6032907,4.096948,-1.5633501,0
-5.115738,-2.5169606,-3.4149911,1
-4.9344144,-3.0974355,-4.3759127,1
-3.4830322,-2.1959987,-2.9379873,1
-3.5498505,-2.4096704,-5.846896,1
-5.731125,-3.1414819,-6.8998747,1
-5.965172,-3.3325977,-5.862717,1
-4.6659513,-1.7800815,-3.5505812,1
-5.88369,-3.05587,-5.751859,1
-3.1363547,-2.6796324,-3.523791,1
-6.1252894,-3.04907,-3.838965,1
-4.7299128,-2.3790772,-2.4306657,1
-7.2716155,-4.6683645,-7.2084584,1
-4.952081,-2.338349,-4.532239,1
-5.852544,-3.212431,-4.61335,1
-6.564711,-3.813507,-4.3107166,1
-4.654781,-2.5225015,-6.1619763,1
-5.2157435,-3.588166,-7.2136593,1
-3.6260061,-1.7644675,-4.6327486,1
-3.4537106,-1.3313152,-4.5200586,1
-5.253732,-2.9706101,-4.7186136,1
-1.9286325,-0.9986894,-2.2568579,1
-7.1832485,-3.9782965,-6.056586,1
-6.1709967,-3.3240728,-7.2081895,1
-6.0079155,-3.3014076,-3.978423,1
-2.8441246,-1.7626632,-3.395087,1
-3.4285722,-1.6333016,-4.2413363,1
-5.429324,-3.146377,-3.724292,1
